,precision,recall,f1-score,support
10,0.4979919678714859,0.6613333333333333,0.56815578465063,375.0
40,0.7634961439588689,0.792,0.7774869109947644,375.0
50,0.847457627118644,0.9333333333333333,0.8883248730964467,375.0
60,0.9289340101522843,0.976,0.951885565669701,375.0
1140,0.8485714285714285,0.792,0.8193103448275862,375.0
1160,0.9015151515151515,0.952,0.9260700389105059,375.0
1180,0.9338842975206612,0.904,0.9186991869918699,375.0
1280,0.5534883720930233,0.6346666666666667,0.591304347826087,375.0
1281,0.7633333333333333,0.6106666666666667,0.6785185185185185,375.0
1300,0.8698795180722891,0.9626666666666667,0.9139240506329114,375.0
1301,0.9761904761904762,0.984,0.9800796812749004,375.0
1302,0.8535911602209945,0.824,0.8385345997286295,375.0
1320,0.8487394957983193,0.808,0.8278688524590164,375.0
1560,0.8011204481792717,0.7626666666666667,0.7814207650273224,375.0
1920,0.8882978723404256,0.8906666666666667,0.8894806924101198,375.0
1940,0.991869918699187,0.976,0.9838709677419355,375.0
2060,0.7407407407407407,0.7466666666666667,0.7436918990703851,375.0
2220,0.9630606860158312,0.9733333333333334,0.9681697612732095,375.0
2280,0.8347578347578347,0.7813333333333333,0.8071625344352618,375.0
2403,0.7597765363128491,0.7253333333333334,0.7421555252387448,375.0
2462,0.9248554913294798,0.8533333333333334,0.8876560332871013,375.0
2522,0.9078947368421053,0.92,0.9139072847682119,375.0
2582,0.7272727272727273,0.7466666666666667,0.7368421052631579,375.0
2583,0.9523809523809523,0.9066666666666666,0.9289617486338798,375.0
2585,0.7613365155131265,0.8506666666666667,0.8035264483627204,375.0
2705,0.662962962962963,0.47733333333333333,0.5550387596899224,375.0
2905,0.9887323943661972,0.936,0.9616438356164384,375.0
accuracy,0.8289382716049383,0.8289382716049383,0.8289382716049383,0.8289382716049383
macro avg,0.8330419555603944,0.8289382716049383,0.8290255969037029,10125.0
weighted avg,0.8330419555603946,0.8289382716049383,0.8290255969037028,10125.0
