,precision,recall,f1-score,support
10,0.7822141560798548,0.8654618473895582,0.8217349857006673,498.0
40,0.9232365145228216,0.9044715447154471,0.9137577002053389,492.0
50,0.8985915492957747,0.9579579579579579,0.9273255813953488,333.0
60,0.9529411764705882,0.9818181818181818,0.9671641791044776,165.0
1140,0.9528688524590164,0.9375,0.9451219512195121,496.0
1160,0.9664694280078896,0.9879032258064516,0.9770687936191426,496.0
1180,0.9440559440559441,0.9121621621621622,0.9278350515463918,148.0
1280,0.7672583826429981,0.778,0.7725918570009931,500.0
1281,0.9011627906976745,0.7506053268765133,0.8190224570673712,413.0
1300,0.8844765342960289,0.9819639278557114,0.9306742640075973,499.0
1301,0.9570552147239264,1.0,0.9780564263322884,156.0
1302,0.9422680412371134,0.9213709677419355,0.9317023445463812,496.0
1320,0.9483471074380165,0.9216867469879518,0.9348268839103869,498.0
1560,0.9227467811158798,0.8634538152610441,0.8921161825726142,498.0
1920,0.927063339731286,0.966,0.9461312438785504,500.0
1940,0.9814814814814815,0.99375,0.9875776397515528,160.0
2060,0.8735177865612648,0.8857715430861723,0.8796019900497513,499.0
2220,0.9588235294117647,0.9878787878787879,0.9731343283582089,165.0
2280,0.9425051334702259,0.9216867469879518,0.9319796954314721,498.0
2403,0.9273858921161826,0.9012096774193549,0.9141104294478528,496.0
2462,0.9219858156028369,0.9454545454545454,0.933572710951526,275.0
2522,0.9693877551020408,0.9713701431492843,0.9703779366700716,489.0
2582,0.8808080808080808,0.872,0.8763819095477386,500.0
2583,0.9795081967213115,0.9637096774193549,0.9715447154471545,496.0
2585,0.9011627906976745,0.9393939393939394,0.9198813056379822,495.0
2705,0.8888888888888888,0.832,0.859504132231405,500.0
2905,0.9881656804733728,0.9597701149425287,0.9737609329446064,174.0
accuracy,0.9133973479652492,0.9133973479652492,0.9133973479652492,0.9133973479652492
macro avg,0.9216435868188867,0.922383365937216,0.9213539862435698,10935.0
weighted avg,0.9143004563461253,0.9133973479652492,0.9131523921251482,10935.0
