,precision,recall,f1-score,support
10,0.5371428571428571,0.37751004016064255,0.44339622641509435,498.0
40,0.6896551724137931,0.5284552845528455,0.5983889528193326,492.0
50,0.5331412103746398,0.5555555555555556,0.5441176470588235,333.0
60,0.6851851851851852,0.896969696969697,0.7769028871391076,165.0
1140,0.740041928721174,0.7116935483870968,0.7255909558067831,496.0
1160,0.9163265306122449,0.905241935483871,0.9107505070993914,496.0
1180,0.6033519553072626,0.7297297297297297,0.6605504587155964,148.0
1280,0.43854748603351956,0.314,0.36596736596736595,500.0
1281,0.45045045045045046,0.36319612590799033,0.40214477211796246,413.0
1300,0.6241379310344828,0.7254509018036072,0.6709916589434661,499.0
1301,0.7127659574468085,0.8589743589743589,0.7790697674418605,156.0
1302,0.5987124463519313,0.5625,0.58004158004158,496.0
1320,0.5177165354330708,0.5281124497991968,0.5228628230616302,498.0
1560,0.5942028985507246,0.4939759036144578,0.5394736842105263,498.0
1920,0.8031189083820662,0.824,0.8134254689042448,500.0
1940,0.6919431279620853,0.9125,0.7870619946091644,160.0
2060,0.492,0.49298597194388777,0.4924924924924925,499.0
2220,0.6237623762376238,0.7636363636363637,0.6866485013623979,165.0
2280,0.6975425330812854,0.7409638554216867,0.7185978578383642,498.0
2403,0.634090909090909,0.5625,0.5961538461538461,496.0
2462,0.5497076023391813,0.6836363636363636,0.6094003241491086,275.0
2522,0.7309417040358744,0.6666666666666666,0.6973262032085561,489.0
2582,0.5779816513761468,0.504,0.5384615384615384,500.0
2583,0.7777777777777778,0.6915322580645161,0.7321237993596584,496.0
2585,0.5615942028985508,0.6262626262626263,0.5921680993314231,495.0
2705,0.5666666666666667,0.85,0.68,500.0
2905,0.5206896551724138,0.867816091954023,0.6508620689655172,174.0
accuracy,0.6268861454046639,0.6268861454046639,0.6268861454046639,0.6268861454046639
macro avg,0.6247850244473603,0.6569579899453771,0.6338878326546235,10935.0
weighted avg,0.6259508760222784,0.6268861454046639,0.6208250121593208,10935.0
