,precision,recall,f1-score,support
10,0.743103448275862,0.8654618473895582,0.7996289424860853,498.0
40,0.9036885245901639,0.8963414634146342,0.9,492.0
50,0.8904494382022472,0.9519519519519519,0.9201741654571843,333.0
60,0.9411764705882353,0.9696969696969697,0.9552238805970149,165.0
1140,0.954070981210856,0.9213709677419355,0.9374358974358974,496.0
1160,0.9642857142857143,0.9798387096774194,0.972,496.0
1180,0.9428571428571428,0.8918918918918919,0.9166666666666666,148.0
1280,0.7619047619047619,0.8,0.7804878048780488,500.0
1281,0.8764367816091954,0.738498789346247,0.8015768725361366,413.0
1300,0.8941605839416058,0.9819639278557114,0.936007640878701,499.0
1301,0.950920245398773,0.9935897435897436,0.9717868338557993,156.0
1302,0.9386503067484663,0.9254032258064516,0.9319796954314721,496.0
1320,0.9364754098360656,0.9176706827309237,0.9269776876267748,498.0
1560,0.9163090128755365,0.857429718875502,0.8858921161825726,498.0
1920,0.930635838150289,0.966,0.9479882237487733,500.0
1940,0.9813664596273292,0.9875,0.9844236760124611,160.0
2060,0.8705179282868526,0.875751503006012,0.8731268731268731,499.0
2220,0.9526627218934911,0.9757575757575757,0.9640718562874252,165.0
2280,0.94375,0.9096385542168675,0.9263803680981595,498.0
2403,0.9107883817427386,0.8850806451612904,0.8977505112474438,496.0
2462,0.925,0.9418181818181818,0.9333333333333333,275.0
2522,0.9556451612903226,0.9693251533742331,0.9624365482233502,489.0
2582,0.8823529411764706,0.87,0.8761329305135952,500.0
2583,0.981404958677686,0.9576612903225806,0.9693877551020408,496.0
2585,0.8923076923076924,0.9373737373737374,0.9142857142857143,495.0
2705,0.8868778280542986,0.784,0.832271762208068,500.0
2905,0.9938650306748467,0.9310344827586207,0.9614243323442137,174.0
accuracy,0.9061728395061729,0.9061728395061729,0.9061728395061729,0.9061728395061729
macro avg,0.915617176452098,0.914150037546594,0.9140315588356965,10935.0
weighted avg,0.9077828004031699,0.9061728395061729,0.9060710233562475,10935.0
