,Predicted 10,Predicted 40,Predicted 50,Predicted 60,Predicted 1140,Predicted 1160,Predicted 1180,Predicted 1280,Predicted 1281,Predicted 1300,Predicted 1301,Predicted 1302,Predicted 1320,Predicted 1560,Predicted 1920,Predicted 1940,Predicted 2060,Predicted 2220,Predicted 2280,Predicted 2403,Predicted 2462,Predicted 2522,Predicted 2582,Predicted 2583,Predicted 2585,Predicted 2705,Predicted 2905
Actual 10,0.6756756756756757,0.02027027027027027,0.0,0.0,0.0,0.006756756756756757,0.006756756756756757,0.0,0.013513513513513514,0.0,0.0,0.0,0.006756756756756757,0.0,0.0,0.006756756756756757,0.0,0.0,0.02702702702702703,0.08783783783783784,0.0,0.006756756756756757,0.0,0.0,0.0,0.14189189189189189,0.0
Actual 40,0.019867549668874173,0.8609271523178808,0.052980132450331126,0.013245033112582781,0.006622516556291391,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.006622516556291391,0.019867549668874173,0.0,0.006622516556291391,0.0,0.0,0.0,0.0
Actual 50,0.0,0.01904761904761905,0.9333333333333333,0.009523809523809525,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.01904761904761905,0.0,0.0,0.0,0.0,0.0,0.0
Actual 60,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
Actual 1140,0.00625,0.00625,0.00625,0.00625,0.80625,0.0,0.0125,0.1125,0.0125,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actual 1160,0.0,0.013986013986013986,0.006993006993006993,0.0,0.006993006993006993,0.958041958041958,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.0
Actual 1180,0.022727272727272728,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,0.8181818181818182,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actual 1280,0.006289308176100629,0.0,0.012578616352201259,0.006289308176100629,0.07547169811320754,0.0,0.006289308176100629,0.6226415094339622,0.031446540880503145,0.1320754716981132,0.0,0.031446540880503145,0.012578616352201259,0.0,0.0,0.0,0.018867924528301886,0.006289308176100629,0.006289308176100629,0.012578616352201259,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0
Actual 1281,0.014598540145985401,0.051094890510948905,0.014598540145985401,0.0,0.021897810218978103,0.0364963503649635,0.029197080291970802,0.21897810218978103,0.5693430656934306,0.0,0.0,0.029197080291970802,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actual 1300,0.0,0.0,0.006134969325153374,0.0,0.0,0.0,0.0,0.012269938650306749,0.0,0.9693251533742331,0.0,0.0,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.0,0.0,0.0,0.0
