,precision,recall,f1-score,support
10,0.5555555555555556,0.6756756756756757,0.6097560975609756,148.0
40,0.8543046357615894,0.8543046357615894,0.8543046357615894,151.0
50,0.8235294117647058,0.9333333333333333,0.875,105.0
60,0.8679245283018868,0.9583333333333334,0.9108910891089109,48.0
1140,0.8074534161490683,0.8125,0.8099688473520249,160.0
1160,0.9271523178807947,0.9790209790209791,0.9523809523809523,143.0
1180,0.7659574468085106,0.8181818181818182,0.7912087912087912,44.0
1280,0.5739644970414202,0.610062893081761,0.5914634146341463,159.0
1281,0.8315789473684211,0.5766423357664233,0.6810344827586207,137.0
1300,0.8681318681318682,0.9693251533742331,0.9159420289855073,163.0
1301,0.8846153846153846,0.9787234042553191,0.9292929292929293,47.0
1302,0.8709677419354839,0.8282208588957055,0.8490566037735849,163.0
1320,0.8493150684931506,0.8,0.8239202657807309,155.0
1560,0.8294573643410853,0.7328767123287672,0.7781818181818182,146.0
1920,0.8653846153846154,0.9246575342465754,0.8940397350993378,146.0
1940,0.8666666666666667,1.0,0.9285714285714286,52.0
2060,0.7552447552447552,0.6967741935483871,0.7248322147651006,155.0
2220,0.9107142857142857,0.9807692307692307,0.9444444444444444,52.0
2280,0.8741258741258742,0.8389261744966443,0.8561643835616438,149.0
2403,0.7831325301204819,0.8227848101265823,0.8024691358024691,158.0
2462,0.9135802469135802,0.8604651162790697,0.8862275449101796,86.0
2522,0.9019607843137255,0.9139072847682119,0.9078947368421053,151.0
2582,0.7484276729559748,0.7579617834394905,0.7531645569620253,157.0
2583,0.9300699300699301,0.9300699300699301,0.9300699300699301,143.0
2585,0.8292682926829268,0.8662420382165605,0.8473520249221184,157.0
2705,0.7954545454545454,0.6176470588235294,0.695364238410596,170.0
2905,0.9523809523809523,0.9302325581395349,0.9411764705882353,43.0
accuracy,0.8178866587957497,0.8178866587957497,0.8178866587957497,0.8178866587957497
macro avg,0.8309747902287866,0.8395421794789885,0.8327471408048223,3388.0
weighted avg,0.8203266174885409,0.8178866587957497,0.8165242074060779,3388.0
