,precision,recall,f1-score,support
10,0.49489795918367346,0.6554054054054054,0.563953488372093,148.0
40,0.7861635220125787,0.8278145695364238,0.8064516129032258,151.0
50,0.8032786885245902,0.9333333333333333,0.8634361233480177,105.0
60,0.8846153846153846,0.9583333333333334,0.92,48.0
1140,0.8145695364238411,0.76875,0.7909967845659164,160.0
1160,0.9230769230769231,0.9230769230769231,0.9230769230769231,143.0
1180,0.7777777777777778,0.7954545454545454,0.7865168539325843,44.0
1280,0.5754189944134078,0.6477987421383647,0.6094674556213018,159.0
1281,0.7358490566037735,0.5693430656934306,0.6419753086419753,137.0
1300,0.8870056497175142,0.9631901840490797,0.9235294117647059,163.0
1301,0.9019607843137255,0.9787234042553191,0.9387755102040817,47.0
1302,0.8616352201257862,0.8404907975460123,0.8509316770186336,163.0
1320,0.8367346938775511,0.7935483870967742,0.8145695364238411,155.0
1560,0.8153846153846154,0.726027397260274,0.7681159420289855,146.0
1920,0.88,0.9041095890410958,0.8918918918918919,146.0
1940,0.9285714285714286,1.0,0.9629629629629629,52.0
2060,0.7342657342657343,0.6774193548387096,0.7046979865771812,155.0
2220,0.8947368421052632,0.9807692307692307,0.9357798165137615,52.0
2280,0.8615384615384616,0.7516778523489933,0.8028673835125448,149.0
2403,0.7176470588235294,0.7721518987341772,0.7439024390243902,158.0
2462,0.9012345679012346,0.8488372093023255,0.874251497005988,86.0
2522,0.9084967320261438,0.9205298013245033,0.9144736842105263,151.0
2582,0.7300613496932515,0.7579617834394905,0.74375,157.0
2583,0.9366197183098591,0.9300699300699301,0.9333333333333333,143.0
2585,0.8154761904761905,0.8726114649681529,0.8430769230769231,157.0
2705,0.7563025210084033,0.5294117647058824,0.6228373702422145,170.0
2905,0.9743589743589743,0.8837209302325582,0.926829268292683,43.0
accuracy,0.7995867768595041,0.7995867768595041,0.7995867768595041,0.7995867768595041
macro avg,0.81991401426406,0.822613366590899,0.8186093031313587,3388.0
weighted avg,0.8041272348936016,0.7995867768595041,0.798935536908802,3388.0
