,Predicted 10,Predicted 40,Predicted 50,Predicted 60,Predicted 1140,Predicted 1160,Predicted 1180,Predicted 1280,Predicted 1281,Predicted 1300,Predicted 1301,Predicted 1302,Predicted 1320,Predicted 1560,Predicted 1920,Predicted 1940,Predicted 2060,Predicted 2220,Predicted 2280,Predicted 2403,Predicted 2462,Predicted 2522,Predicted 2582,Predicted 2583,Predicted 2585,Predicted 2705,Predicted 2905
Actual 10,128,14,1,0,3,3,9,2,8,1,1,2,9,1,1,5,2,2,62,32,2,7,2,2,3,204,3
Actual 40,16,260,39,5,6,8,9,7,18,4,1,1,2,0,0,3,1,3,16,10,24,1,2,0,4,36,8
Actual 50,2,7,377,12,2,1,1,1,3,7,0,7,4,2,0,0,1,1,0,1,23,3,0,0,4,2,0
Actual 60,2,1,5,480,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,11,0,0,1,0,0,1
Actual 1140,5,19,3,0,353,14,11,14,5,9,1,6,4,0,0,1,3,1,6,4,3,9,1,2,4,18,2
Actual 1160,3,11,1,0,5,437,1,1,10,1,0,1,0,0,0,1,0,0,7,9,2,2,3,0,3,33,1
Actual 1180,2,3,0,0,7,6,462,1,8,4,1,1,2,2,0,1,5,1,5,8,5,7,2,1,1,13,1
Actual 1280,5,17,4,1,37,4,2,207,51,60,6,21,14,2,1,6,10,6,4,2,2,10,4,4,7,7,0
Actual 1281,21,19,3,1,11,21,9,46,274,5,3,10,4,3,0,5,3,1,14,6,3,7,1,1,2,32,3
Actual 1300,8,9,1,0,5,2,3,16,3,409,0,4,2,1,0,2,3,0,5,2,0,2,0,2,2,20,0
Actual 1301,1,0,0,0,0,0,0,0,2,0,451,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0
Actual 1302,2,2,1,0,7,0,2,21,16,4,10,337,18,4,2,8,4,7,1,2,2,5,11,14,14,11,0
Actual 1320,2,4,0,0,4,2,1,25,3,2,1,9,298,20,18,12,17,4,4,5,1,7,8,2,7,18,1
Actual 1560,0,1,2,0,1,2,1,0,1,0,0,2,12,333,29,2,39,0,1,4,1,8,36,2,13,3,0
Actual 1920,1,0,2,0,0,0,0,1,0,0,0,0,7,11,444,1,24,1,2,0,0,3,3,5,2,1,0
Actual 1940,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,465,0,2,5,3,0,2,2,0,2,14,0
Actual 2060,2,6,3,0,6,2,2,3,4,2,1,11,15,17,18,7,308,0,3,3,1,5,20,1,14,2,0
Actual 2220,0,2,0,0,0,0,0,0,0,2,0,5,2,1,3,2,4,454,0,5,0,2,1,1,4,2,0
Actual 2280,52,8,3,1,5,4,5,3,4,2,1,1,4,1,1,6,3,2,313,28,3,2,2,0,2,85,1
Actual 2403,40,9,0,0,5,7,0,2,6,3,0,1,0,0,0,9,1,2,54,281,4,5,2,0,0,65,1
Actual 2462,3,12,21,4,5,2,0,1,13,0,0,2,0,0,0,2,0,1,4,6,439,1,0,0,0,1,0
Actual 2522,10,4,1,0,4,3,3,7,4,6,1,1,10,15,1,6,7,0,6,17,1,359,3,2,15,9,0
Actual 2582,1,0,0,1,6,0,0,3,0,3,1,7,6,47,10,7,37,4,4,2,0,6,317,8,39,4,0
Actual 2583,2,1,0,0,1,0,1,1,3,2,0,7,8,1,1,0,8,0,1,0,1,6,4,422,19,6,1
Actual 2585,1,5,4,1,2,3,0,1,2,7,1,4,12,9,5,9,8,1,7,3,0,10,37,18,329,20,2
Actual 2705,108,14,1,0,4,13,5,6,4,2,0,2,6,1,0,10,3,6,55,18,2,4,1,1,3,257,4
Actual 2905,4,4,0,0,1,2,0,1,5,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,20,437
