,precision,recall,f1-score,support
10,0.30117647058823527,0.25147347740667975,0.2740899357601713,509.0
40,0.6004618937644342,0.5371900826446281,0.5670665212649946,484.0
50,0.798728813559322,0.8177874186550976,0.8081457663451233,461.0
60,0.9486166007905138,0.9504950495049505,0.9495548961424333,505.0
1140,0.7354166666666667,0.7088353413654619,0.721881390593047,498.0
1160,0.8152985074626866,0.8214285714285714,0.8183520599250936,532.0
1180,0.8766603415559773,0.8415300546448088,0.8587360594795539,549.0
1280,0.5549597855227882,0.4190283400809717,0.47750865051903113,494.0
1281,0.6116071428571429,0.5393700787401575,0.5732217573221757,508.0
1300,0.7616387337057728,0.8163672654690619,0.7880539499036608,501.0
1301,0.9395833333333333,0.9825708061002179,0.9605963791267306,459.0
1302,0.7624434389140271,0.6673267326732674,0.7117212249208026,505.0
1320,0.6772727272727272,0.6273684210526316,0.6513661202185792,475.0
1560,0.7070063694267515,0.6754563894523327,0.6908713692946058,493.0
1920,0.8299065420560747,0.8740157480314961,0.8513902205177373,508.0
1940,0.8143607705779334,0.9226190476190477,0.8651162790697674,504.0
2060,0.6260162601626016,0.6754385964912281,0.6497890295358649,456.0
2220,0.908,0.926530612244898,0.9171717171717172,490.0
2280,0.5378006872852233,0.577490774907749,0.5569395017793595,542.0
2403,0.6216814159292036,0.5653923541247485,0.5922023182297155,497.0
2462,0.8283018867924529,0.8491295938104448,0.8385864374403056,517.0
2522,0.7557894736842106,0.7252525252525253,0.7402061855670103,495.0
2582,0.6861471861471862,0.6179337231968811,0.6502564102564102,513.0
2583,0.8629856850715747,0.8508064516129032,0.8568527918781725,496.0
2585,0.6673427991886409,0.656686626746507,0.6619718309859155,501.0
2705,0.29105322763306907,0.4849056603773585,0.3637650389242746,530.0
2905,0.9377682403433476,0.9142259414225942,0.9258474576271186,478.0
accuracy,0.7134074074074074,0.7134074074074074,0.7134074074074074,0.7134074074074074
macro avg,0.7206675926034036,0.7146909512984154,0.7156022703629397,13500.0
weighted avg,0.7190777308324809,0.7134074074074074,0.7141148056929824,13500.0
