,Predicted 10,Predicted 40,Predicted 50,Predicted 60,Predicted 1140,Predicted 1160,Predicted 1180,Predicted 1280,Predicted 1281,Predicted 1300,Predicted 1301,Predicted 1302,Predicted 1320,Predicted 1560,Predicted 1920,Predicted 1940,Predicted 2060,Predicted 2220,Predicted 2280,Predicted 2403,Predicted 2462,Predicted 2522,Predicted 2582,Predicted 2583,Predicted 2585,Predicted 2705,Predicted 2905
Actual 10,138,11,5,0,5,5,8,2,7,2,1,2,4,0,1,6,5,0,75,31,2,9,6,3,5,172,4
Actual 40,9,253,37,8,10,10,15,12,12,3,0,1,4,1,0,2,0,3,9,7,34,4,1,0,3,32,14
Actual 50,2,9,361,17,2,2,2,1,1,6,0,8,3,3,0,0,3,2,1,1,30,3,0,0,3,1,0
Actual 60,0,4,8,475,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,1,0,0,2
Actual 1140,0,17,3,0,376,8,6,14,2,4,1,4,3,3,0,5,5,2,7,5,4,6,0,2,3,17,1
Actual 1160,6,8,0,1,5,449,5,0,4,1,1,0,0,0,1,2,0,0,6,5,2,1,2,0,2,29,2
Actual 1180,5,8,2,0,12,8,452,3,14,4,2,3,1,2,0,0,2,0,5,4,2,7,1,0,3,9,0
Actual 1280,2,16,3,2,33,1,6,219,47,67,3,24,13,2,1,4,4,4,3,4,0,10,5,5,6,7,3
Actual 1281,11,17,2,4,14,24,21,48,262,6,2,13,7,2,0,3,4,3,10,6,2,5,2,3,1,32,4
Actual 1300,7,5,4,0,3,3,2,17,0,413,1,3,2,0,1,2,0,1,8,1,0,2,2,1,6,16,1
Actual 1301,0,0,0,0,2,0,1,0,2,0,446,3,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0
Actual 1302,2,2,3,0,3,0,6,16,20,4,3,357,10,7,3,2,7,7,4,1,0,5,16,12,6,8,1
Actual 1320,4,3,1,0,3,0,1,18,7,3,1,4,312,15,16,9,19,7,3,1,1,6,14,2,10,13,2
Actual 1560,1,0,5,0,0,0,0,1,0,1,1,3,14,339,24,1,31,0,1,1,2,9,42,2,13,2,0
Actual 1920,3,2,0,0,0,0,0,2,0,1,0,1,9,9,451,0,15,0,1,1,0,4,5,3,1,0,0
Actual 1940,0,1,0,1,0,0,1,2,1,0,1,0,2,2,0,464,0,2,8,3,0,1,3,0,1,11,0
Actual 2060,2,4,6,1,4,2,1,7,4,4,1,6,17,19,21,4,302,6,0,2,1,5,26,3,7,1,0
Actual 2220,3,2,4,0,0,0,0,1,0,0,0,5,1,2,0,3,0,460,0,0,1,1,1,1,3,2,0
Actual 2280,43,7,2,1,6,2,11,6,7,3,0,2,3,3,0,9,2,2,315,32,1,2,4,2,2,74,1
Actual 2403,45,9,0,0,8,6,2,1,3,2,1,2,1,1,0,6,0,3,57,289,0,2,1,0,1,52,5
Actual 2462,4,18,35,5,5,8,2,1,12,1,0,2,0,0,0,0,0,0,1,6,414,0,0,0,0,1,2
Actual 2522,8,2,2,0,9,4,1,3,5,2,1,4,11,16,0,7,5,0,3,11,0,383,4,2,9,3,0
Actual 2582,2,1,3,0,2,0,2,1,1,0,0,7,10,45,13,9,25,2,0,3,0,4,335,7,39,2,0
Actual 2583,1,1,3,0,0,1,0,1,0,2,0,7,4,5,0,0,4,0,2,1,0,2,7,433,17,5,0
Actual 2585,3,4,3,0,1,0,5,1,0,3,1,3,8,14,3,5,11,2,3,2,0,14,47,12,339,15,2
Actual 2705,100,17,1,2,2,14,12,2,7,2,1,3,1,1,0,12,3,4,66,25,0,3,2,2,5,241,2
Actual 2905,6,6,1,0,0,0,4,0,5,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,19,431
