,precision,recall,f1-score,support
10,0.33906633906633904,0.27111984282907664,0.30131004366812225,509.0
40,0.5925058548009368,0.5227272727272727,0.5554335894621295,484.0
50,0.7307692307692307,0.7830802603036876,0.7560209424083769,461.0
60,0.9187620889748549,0.9405940594059405,0.9295499021526419,505.0
1140,0.7445544554455445,0.7550200803212851,0.7497507477567298,498.0
1160,0.8208409506398537,0.8439849624060151,0.8322520852641334,532.0
1180,0.7971781305114638,0.8233151183970856,0.8100358422939068,549.0
1280,0.5748031496062992,0.4433198380566802,0.5005714285714286,494.0
1281,0.6193853427895981,0.515748031496063,0.5628356605800214,508.0
1300,0.77196261682243,0.8243512974051896,0.7972972972972973,501.0
1301,0.9529914529914529,0.971677559912854,0.9622437971952535,459.0
1302,0.7644539614561028,0.7069306930693069,0.7345679012345679,505.0
1320,0.7074829931972789,0.6568421052631579,0.6812227074235808,475.0
1560,0.6904276985743381,0.6876267748478702,0.6890243902439024,493.0
1920,0.8429906542056075,0.8877952755905512,0.8648130393096836,508.0
1940,0.8345323741007195,0.9206349206349206,0.8754716981132076,504.0
2060,0.6756152125279642,0.6622807017543859,0.6688815060908084,456.0
2220,0.9001956947162426,0.9387755102040817,0.919080919080919,490.0
2280,0.5320945945945946,0.5811808118081181,0.5555555555555556,542.0
2403,0.6523702031602708,0.5814889336016097,0.6148936170212767,497.0
2462,0.8181818181818182,0.8007736943907157,0.8093841642228738,517.0
2522,0.7816326530612245,0.7737373737373737,0.7776649746192893,495.0
2582,0.6368821292775665,0.6530214424951267,0.6448508180943214,513.0
2583,0.8694779116465864,0.8729838709677419,0.8712273641851107,496.0
2585,0.6989690721649484,0.6766467065868264,0.6876267748478702,501.0
2705,0.31544502617801046,0.4547169811320755,0.37248840803709427,530.0
2905,0.9035639412997903,0.9016736401673641,0.9026178010471204,478.0
accuracy,0.7191851851851851,0.7191851851851851,0.7191851851851851,0.7191851851851851
macro avg,0.7217457611392989,0.7204462133152731,0.7195064065102675,13500.0
weighted avg,0.7198822729409541,0.7191851851851851,0.7179165738627615,13500.0
