,Predicted 10,Predicted 40,Predicted 50,Predicted 60,Predicted 1140,Predicted 1160,Predicted 1180,Predicted 1280,Predicted 1281,Predicted 1300,Predicted 1301,Predicted 1302,Predicted 1320,Predicted 1560,Predicted 1920,Predicted 1940,Predicted 2060,Predicted 2220,Predicted 2280,Predicted 2403,Predicted 2462,Predicted 2522,Predicted 2582,Predicted 2583,Predicted 2585,Predicted 2705,Predicted 2905
Actual 10,145,12,0,0,5,5,6,1,3,0,0,2,7,0,0,3,3,0,69,29,1,9,2,1,2,203,1
Actual 40,14,268,35,5,7,9,3,9,14,1,1,2,2,0,0,2,0,4,12,7,23,1,3,0,3,53,6
Actual 50,2,8,363,13,3,3,1,0,1,6,0,6,3,3,0,0,4,1,0,1,25,6,3,0,7,2,0
Actual 60,0,1,10,472,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,1,13,0,0,1,0,0,1
Actual 1140,6,16,1,0,365,8,10,24,1,5,0,2,3,1,0,2,3,1,5,6,2,5,0,1,2,28,1
Actual 1160,10,6,0,0,7,439,2,0,9,1,0,0,0,0,0,0,0,0,5,6,0,1,3,0,2,41,0
Actual 1180,6,2,3,0,13,5,441,6,13,5,1,2,1,1,0,1,2,2,3,6,5,2,0,0,1,28,0
Actual 1280,7,12,4,1,41,2,3,222,53,52,2,17,13,3,0,6,6,4,4,2,0,8,5,2,7,17,1
Actual 1281,12,15,3,0,13,18,13,51,260,6,4,12,4,2,0,2,2,3,14,8,6,2,2,1,2,49,4
Actual 1300,8,3,1,0,2,4,1,22,5,407,0,0,2,2,0,1,2,1,5,2,0,1,0,1,2,29,0
Actual 1301,0,0,0,0,0,1,0,1,3,2,438,3,3,0,0,1,0,2,2,0,1,1,0,0,0,1,0
Actual 1302,5,2,1,0,5,1,3,17,17,5,4,348,14,5,2,5,9,6,6,1,1,2,10,11,9,16,0
Actual 1320,7,2,1,0,4,0,1,22,7,0,0,5,316,9,17,8,19,3,1,5,0,5,9,1,8,24,1
Actual 1560,4,0,4,0,0,0,1,0,0,0,2,1,14,336,21,2,30,2,1,3,0,6,43,3,12,8,0
Actual 1920,0,1,1,0,0,0,0,1,1,0,0,1,6,10,446,1,20,1,1,0,0,3,5,4,2,4,0
Actual 1940,8,1,0,0,0,0,2,1,0,0,1,0,2,1,0,448,2,3,7,5,0,2,2,0,1,18,0
Actual 2060,1,4,3,0,5,0,1,7,2,1,1,8,15,13,17,3,315,4,2,1,1,3,27,2,14,6,0
Actual 2220,1,0,1,0,0,0,1,2,1,0,0,5,7,0,0,1,6,441,0,4,0,3,4,3,5,5,0
Actual 2280,49,11,1,1,3,1,3,5,5,3,2,3,3,2,0,5,1,0,313,30,2,2,3,0,1,92,1
Actual 2403,41,8,0,0,8,6,1,3,5,1,0,0,1,0,0,4,0,1,56,281,5,3,1,0,0,71,1
Actual 2462,4,18,31,10,6,3,2,1,16,0,0,2,0,0,0,1,0,0,1,7,407,1,0,0,0,6,1
Actual 2522,9,4,1,0,3,2,2,5,9,1,2,5,7,13,2,6,5,0,7,11,0,369,3,3,10,16,0
Actual 2582,2,0,0,1,2,2,1,3,0,0,0,8,11,42,14,8,29,2,1,2,0,4,342,4,29,6,0
Actual 2583,6,2,1,0,0,0,0,1,0,2,2,5,5,3,0,0,8,0,1,1,0,1,7,412,22,17,0
Actual 2585,8,3,4,0,1,0,1,1,2,4,0,1,11,9,6,6,12,0,3,3,0,10,45,12,327,31,1
Actual 2705,106,14,1,0,3,9,5,0,3,0,0,3,2,0,0,5,3,6,54,20,0,3,1,0,3,285,4
Actual 2905,6,5,1,0,0,1,0,0,8,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,24,426
