,precision,recall,f1-score,support
10,0.31049250535331907,0.28487229862475444,0.29713114754098363,509.0
40,0.6411483253588517,0.5537190082644629,0.5942350332594235,484.0
50,0.7707006369426752,0.7874186550976139,0.778969957081545,461.0
60,0.9383697813121272,0.9346534653465347,0.9365079365079365,505.0
1140,0.7358870967741935,0.7329317269076305,0.7344064386317908,498.0
1160,0.8458574181117534,0.825187969924812,0.8353948620361561,532.0
1180,0.875,0.8032786885245902,0.8376068376068376,549.0
1280,0.5441176470588235,0.4493927125506073,0.49223946784922396,494.0
1281,0.592255125284738,0.5118110236220472,0.5491024287222809,508.0
1300,0.8091451292246521,0.812375249500998,0.8107569721115537,501.0
1301,0.9521739130434783,0.954248366013072,0.9532100108813928,459.0
1302,0.7891156462585034,0.689108910891089,0.7357293868921776,505.0
1320,0.6975717439293598,0.6652631578947369,0.6810344827586207,475.0
1560,0.7384615384615385,0.6815415821501014,0.7088607594936709,493.0
1920,0.8495238095238096,0.8779527559055118,0.8635043562439496,508.0
1940,0.8582375478927203,0.8888888888888888,0.8732943469785575,504.0
2060,0.6535269709543569,0.6907894736842105,0.6716417910447762,456.0
2220,0.9036885245901639,0.9,0.901840490797546,490.0
2280,0.5434027777777778,0.577490774907749,0.5599284436493739,542.0
2403,0.6343115124153499,0.5653923541247485,0.597872340425532,497.0
2462,0.8272357723577236,0.7872340425531915,0.8067393458870169,517.0
2522,0.8145695364238411,0.7454545454545455,0.7784810126582279,495.0
2582,0.6576923076923077,0.6666666666666666,0.6621490803484995,513.0
2583,0.8917748917748918,0.8306451612903226,0.860125260960334,496.0
2585,0.6942675159235668,0.6526946107784432,0.6728395061728395,501.0
2705,0.2638888888888889,0.5377358490566038,0.35403726708074534,530.0
2905,0.9487750556792873,0.891213389121339,0.919093851132686,478.0
accuracy,0.7134814814814815,0.7134814814814815,0.7134814814814815,0.7134814814814815
macro avg,0.7326367266299519,0.7147393084350101,0.7209901042501362,13500.0
weighted avg,0.7308804040329336,0.7134814814814815,0.719379172201801,13500.0
