code; category
10;Used book
40;Video game, tech accessory
50;Console accessory
60;Console game
1140;Figurine
1160;Collectible card
1180;Board game
1280;Children’s toy, costume
1281;Social game
1300;Tech toy
1301;Pair of socks
1302;Outdoor game, clothing
1320;Baby-related items
1560;Indoor furniture
1920;Bedroom
1940;Kitchen
2060;Home decoration
2220;Animal
2280;Magazines and newspapers
2403;Magazines, books and comics
2462;Used game
2522;Office supplies and stationery
2582;Outdoor furniture
2583;Poolside items
2585;DIY
2705;New book
2905;PC game
code; category
10;Used book
40;Video game, tech accessory
50;Console accessory
60;Game console
1140;Figurine
1160;Collectible card
1180;Board game
1280;Children’s toy, costume
1281;Social game
1300;Tech toy
1301;Pair of socks
1302;Outdoor game, clothing
1320;Baby-related items
1560;Indoor furniture
1920;Bedroom
1940;Kitchen
2060;Home decoration
2220;Animal
2280;Magazines and newspapers
2403;Magazines, books and comics
2462;Used game
2522;Office supplies and stationery
2582;Outdoor furniture
2583;Poolside items
2585;DIY
2705;New book
2905;PC game
